run_id,timestamp,epoch,label,bot,leveldb_dir,prompts_recovered,conversations_recovered,messages_recovered,bytes_recovered,log_files,ldb_files,sst_files,carve_time_ms
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 21,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 21/IndexedDB/https_claude.ai_0.indexeddb.leveldb,17,0,0,1585,1,0,0,6.65
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 20,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 20/IndexedDB/https_claude.ai_0.indexeddb.leveldb,13,0,0,695,1,1,0,5.89
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 29,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 29/IndexedDB/https_claude.ai_0.indexeddb.leveldb,102,0,0,3235,1,1,0,35.25
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 45,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 45/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,1,0,1.93
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 51,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 51/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,1,0,1.01
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 34,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 34/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,0,0,0.86
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,chatgpt_browser_chrome_Profile 33,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 33/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,8,2,3,5459,1,0,0,1.05
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 33,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 33/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,0,0,0.33
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,chatgpt_browser_chrome_Profile 1,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 1/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,0,0,0,0,1,1,0,1.02
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 1,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 1/IndexedDB/https_claude.ai_0.indexeddb.leveldb,2,0,0,82,1,1,0,2.73
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 49,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 49/IndexedDB/https_claude.ai_0.indexeddb.leveldb,17,0,0,29103,1,1,0,18.39
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 24,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 24/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,1,0,28.05
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 12,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 12/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,1,0,3.49
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,chatgpt_browser_chrome_Profile 37,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 37/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,0,0,0,0,1,0,0,0.59
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 37,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 37/IndexedDB/https_claude.ai_0.indexeddb.leveldb,11,0,0,1050,1,0,0,3.57
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,chatgpt_browser_chrome_Profile 3,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 3/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,58,12,56,9813,1,1,0,11.7
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 3,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 3/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,0,0,0.41
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 31,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 31/IndexedDB/https_claude.ai_0.indexeddb.leveldb,6,0,0,251,1,0,0,1.54
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,chatgpt_browser_chrome_Profile 2,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 2/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,124,3,17,285270,1,0,0,10.73
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 2,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 2/IndexedDB/https_claude.ai_0.indexeddb.leveldb,3,0,0,37,1,1,0,2.46
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,chatgpt_browser_chrome_Profile 5,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 5/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,138,6,30,161799,1,1,0,2.43
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_browser_chrome_Profile 5,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 5/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,0,0,0.78
run3d_20260815_105509,2026-08-15 10:55:09,1786771509.1032991,claude_desktop,claude,/Users/apple/Library/Application Support/Claude/IndexedDB/https_claude.ai_0.indexeddb.leveldb,1,0,0,1,1,1,0,5.24
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 21,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 21/IndexedDB/https_claude.ai_0.indexeddb.leveldb,17,0,0,1585,1,0,0,6.76
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 20,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 20/IndexedDB/https_claude.ai_0.indexeddb.leveldb,13,0,0,695,1,1,0,4.65
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 29,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 29/IndexedDB/https_claude.ai_0.indexeddb.leveldb,102,0,0,3235,1,1,0,37.87
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 45,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 45/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,1,0,1.05
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 51,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 51/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,1,0,0.18
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 34,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 34/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,0,0,0.07
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,chatgpt_browser_chrome_Profile 33,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 33/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,8,2,3,5459,1,0,0,0.3
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 33,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 33/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,0,0,0.11
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,chatgpt_browser_chrome_Profile 1,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 1/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,0,0,0,0,1,1,0,0.51
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 1,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 1/IndexedDB/https_claude.ai_0.indexeddb.leveldb,2,0,0,82,1,1,0,1.8
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 49,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 49/IndexedDB/https_claude.ai_0.indexeddb.leveldb,17,0,0,29103,1,1,0,17.38
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 24,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 24/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,1,0,22.93
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 12,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 12/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,1,0,0.29
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,chatgpt_browser_chrome_Profile 37,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 37/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,0,0,0,0,1,0,0,0.09
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 37,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 37/IndexedDB/https_claude.ai_0.indexeddb.leveldb,11,0,0,1050,1,0,0,2.36
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,chatgpt_browser_chrome_Profile 3,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 3/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,58,12,56,9813,1,1,0,11.35
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 3,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 3/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,0,0,0.06
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 31,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 31/IndexedDB/https_claude.ai_0.indexeddb.leveldb,6,0,0,251,1,0,0,0.86
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,chatgpt_browser_chrome_Profile 2,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 2/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,124,3,17,285270,1,0,0,8.42
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 2,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 2/IndexedDB/https_claude.ai_0.indexeddb.leveldb,3,0,0,37,1,1,0,0.86
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,chatgpt_browser_chrome_Profile 5,chatgpt,/Users/apple/Library/Application Support/Google/Chrome/Profile 5/IndexedDB/https_chatgpt.com_0.indexeddb.leveldb,138,6,30,161799,1,1,0,1.32
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_browser_chrome_Profile 5,claude,/Users/apple/Library/Application Support/Google/Chrome/Profile 5/IndexedDB/https_claude.ai_0.indexeddb.leveldb,0,0,0,0,1,0,0,0.12
run3d_20260815_105517,2026-08-15 10:55:17,1786771517.299999,claude_desktop,claude,/Users/apple/Library/Application Support/Claude/IndexedDB/https_claude.ai_0.indexeddb.leveldb,1,0,0,1,1,1,0,3.31
